
X0 0; Y0 0; Smax 10000; p 0.050000; temps moyen 0.000000 p' 1.000000
X0 1; Y0 1; Smax 10000; p 0.050000; temps moyen 9.568947 p' 0.955518
X0 1; Y0 1; Smax 10000; p 0.150000; temps moyen 12.230693 p' 0.947080
X0 1; Y0 1; Smax 10000; p 0.250000; temps moyen 17.544158 p' 0.934160
X0 1; Y0 1; Smax 10000; p 0.350000; temps moyen 33.150113 p' 0.920205
X0 1; Y0 1; Smax 10000; p 0.450000; temps moyen 87.877603 p' 0.911775
X0 1; Y0 1; Smax 10000; p 0.550000; temps moyen 222.381011 p' 0.902274
X0 1; Y0 1; Smax 10000; p 0.650000; temps moyen 366.833834 p' 0.784627
X0 1; Y0 1; Smax 10000; p 0.750000; temps moyen 325.721869 p' 0.540052
X0 1; Y0 1; Smax 10000; p 0.850000; temps moyen 236.941192 p' 0.282649
X0 1; Y0 1; Smax 10000; p 0.950000; temps moyen 182.623568 p' 0.078434
X0 1; Y0 2; Smax 10000; p 0.050000; temps moyen 17.835361 p' 0.946643
X0 1; Y0 2; Smax 10000; p 0.150000; temps moyen 23.482790 p' 0.938722
X0 1; Y0 2; Smax 10000; p 0.250000; temps moyen 34.316805 p' 0.923877
X0 1; Y0 2; Smax 10000; p 0.350000; temps moyen 65.131159 p' 0.912760
X0 1; Y0 2; Smax 10000; p 0.450000; temps moyen 139.966334 p' 0.919231
X0 1; Y0 2; Smax 10000; p 0.550000; temps moyen 324.981967 p' 0.896558
X0 1; Y0 2; Smax 10000; p 0.650000; temps moyen 512.123581 p' 0.738937
X0 1; Y0 2; Smax 10000; p 0.750000; temps moyen 462.089251 p' 0.453939
X0 1; Y0 2; Smax 10000; p 0.850000; temps moyen 364.087186 p' 0.203958
X0 1; Y0 2; Smax 10000; p 0.950000; temps moyen 289.207850 p' 0.047751
X0 1; Y0 5; Smax 10000; p 0.050000; temps moyen 40.503143 p' 0.943076
X0 1; Y0 5; Smax 10000; p 0.150000; temps moyen 56.392090 p' 0.935111
X0 1; Y0 5; Smax 10000; p 0.250000; temps moyen 86.183744 p' 0.923671
X0 1; Y0 5; Smax 10000; p 0.350000; temps moyen 147.433108 p' 0.929353
X0 1; Y0 5; Smax 10000; p 0.450000; temps moyen 296.330204 p' 0.926505
X0 1; Y0 5; Smax 10000; p 0.550000; temps moyen 608.868450 p' 0.864395
X0 1; Y0 5; Smax 10000; p 0.650000; temps moyen 898.502741 p' 0.628999
X0 1; Y0 5; Smax 10000; p 0.750000; temps moyen 868.534964 p' 0.304069
X0 1; Y0 5; Smax 10000; p 0.850000; temps moyen 772.360824 p' 0.103097
X0 1; Y0 5; Smax 10000; p 0.950000; temps moyen 667.219316 p' 0.019387
X0 1; Y0 10; Smax 10000; p 0.050000; temps moyen 74.936472 p' 0.940495
X0 1; Y0 10; Smax 10000; p 0.150000; temps moyen 110.344410 p' 0.937033
X0 1; Y0 10; Smax 10000; p 0.250000; temps moyen 173.256817 p' 0.937397
X0 1; Y0 10; Smax 10000; p 0.350000; temps moyen 299.651496 p' 0.937726
X0 1; Y0 10; Smax 10000; p 0.450000; temps moyen 566.362022 p' 0.920722
X0 1; Y0 10; Smax 10000; p 0.550000; temps moyen 1041.669383 p' 0.812134
X0 1; Y0 10; Smax 10000; p 0.650000; temps moyen 1434.004330 p' 0.511474
X0 1; Y0 10; Smax 10000; p 0.750000; temps moyen 1451.412870 p' 0.199124
X0 1; Y0 10; Smax 10000; p 0.850000; temps moyen 1369.439495 p' 0.056448
X0 1; Y0 10; Smax 10000; p 0.950000; temps moyen 1267.288642 p' 0.009275
X0 2; Y0 0; Smax 10000; p 0.050000; temps moyen 2.607537 p' 0.996115
X0 2; Y0 0; Smax 10000; p 0.150000; temps moyen 4.594114 p' 0.985039
X0 2; Y0 0; Smax 10000; p 0.250000; temps moyen 8.727453 p' 0.966289
X0 2; Y0 0; Smax 10000; p 0.350000; temps moyen 21.395182 p' 0.942159
X0 2; Y0 0; Smax 10000; p 0.450000; temps moyen 80.429377 p' 0.916457
X0 2; Y0 0; Smax 10000; p 0.550000; temps moyen 239.948568 p' 0.901353
X0 2; Y0 0; Smax 10000; p 0.650000; temps moyen 429.522574 p' 0.763347
X0 2; Y0 0; Smax 10000; p 0.750000; temps moyen 415.339462 p' 0.482212
X0 2; Y0 0; Smax 10000; p 0.850000; temps moyen 358.651192 p' 0.208328
X0 2; Y0 0; Smax 10000; p 0.950000; temps moyen 328.733248 p' 0.041935
X0 2; Y0 1; Smax 10000; p 0.050000; temps moyen 17.706687 p' 0.947462
X0 2; Y0 1; Smax 10000; p 0.150000; temps moyen 23.363063 p' 0.940437
X0 2; Y0 1; Smax 10000; p 0.250000; temps moyen 34.035538 p' 0.929872
X0 2; Y0 1; Smax 10000; p 0.350000; temps moyen 64.167571 p' 0.914272
X0 2; Y0 1; Smax 10000; p 0.450000; temps moyen 140.198762 p' 0.918467
X0 2; Y0 1; Smax 10000; p 0.550000; temps moyen 324.639004 p' 0.896260
X0 2; Y0 1; Smax 10000; p 0.650000; temps moyen 508.385368 p' 0.740345
X0 2; Y0 1; Smax 10000; p 0.750000; temps moyen 460.873734 p' 0.454295
X0 2; Y0 1; Smax 10000; p 0.850000; temps moyen 362.537594 p' 0.205435
X0 2; Y0 1; Smax 10000; p 0.950000; temps moyen 289.120372 p' 0.048634
X0 2; Y0 2; Smax 10000; p 0.050000; temps moyen 34.286736 p' 0.936225
X0 2; Y0 2; Smax 10000; p 0.150000; temps moyen 43.154519 p' 0.929456
X0 2; Y0 2; Smax 10000; p 0.250000; temps moyen 61.656587 p' 0.918992
X0 2; Y0 2; Smax 10000; p 0.350000; temps moyen 100.777694 p' 0.916501
X0 2; Y0 2; Smax 10000; p 0.450000; temps moyen 196.578206 p' 0.923601
X0 2; Y0 2; Smax 10000; p 0.550000; temps moyen 416.397363 p' 0.889819
X0 2; Y0 2; Smax 10000; p 0.650000; temps moyen 607.587856 p' 0.705716
X0 2; Y0 2; Smax 10000; p 0.750000; temps moyen 553.814266 p' 0.411353
X0 2; Y0 2; Smax 10000; p 0.850000; temps moyen 432.667050 p' 0.174906
X0 2; Y0 2; Smax 10000; p 0.950000; temps moyen 347.209212 p' 0.039720
X0 2; Y0 5; Smax 10000; p 0.050000; temps moyen 77.106581 p' 0.932758
X0 2; Y0 5; Smax 10000; p 0.150000; temps moyen 96.396417 p' 0.926891
X0 2; Y0 5; Smax 10000; p 0.250000; temps moyen 132.030479 p' 0.928352
X0 2; Y0 5; Smax 10000; p 0.350000; temps moyen 202.934619 p' 0.932785
X0 2; Y0 5; Smax 10000; p 0.450000; temps moyen 362.935987 p' 0.923757
X0 2; Y0 5; Smax 10000; p 0.550000; temps moyen 674.304152 p' 0.853005
X0 2; Y0 5; Smax 10000; p 0.650000; temps moyen 955.949949 p' 0.616189
X0 2; Y0 5; Smax 10000; p 0.750000; temps moyen 895.595805 p' 0.297637
X0 2; Y0 5; Smax 10000; p 0.850000; temps moyen 772.978012 p' 0.103808
X0 2; Y0 5; Smax 10000; p 0.950000; temps moyen 654.927046 p' 0.019918
X0 2; Y0 10; Smax 10000; p 0.050000; temps moyen 130.550102 p' 0.936451
X0 2; Y0 10; Smax 10000; p 0.150000; temps moyen 170.550359 p' 0.940544
X0 2; Y0 10; Smax 10000; p 0.250000; temps moyen 240.225047 p' 0.937559
X0 2; Y0 10; Smax 10000; p 0.350000; temps moyen 371.193496 p' 0.937199
X0 2; Y0 10; Smax 10000; p 0.450000; temps moyen 640.042256 p' 0.918317
X0 2; Y0 10; Smax 10000; p 0.550000; temps moyen 1100.883155 p' 0.804493
X0 2; Y0 10; Smax 10000; p 0.650000; temps moyen 1477.466895 p' 0.504246
X0 2; Y0 10; Smax 10000; p 0.750000; temps moyen 1455.536065 p' 0.198594
X0 2; Y0 10; Smax 10000; p 0.850000; temps moyen 1337.344208 p' 0.057695
X0 2; Y0 10; Smax 10000; p 0.950000; temps moyen 1269.223406 p' 0.009596
X0 5; Y0 0; Smax 10000; p 0.050000; temps moyen 7.481088 p' 0.995011
X0 5; Y0 0; Smax 10000; p 0.150000; temps moyen 15.815169 p' 0.978431
X0 5; Y0 0; Smax 10000; p 0.250000; temps moyen 34.915493 p' 0.957808
X0 5; Y0 0; Smax 10000; p 0.350000; temps moyen 88.777165 p' 0.940485
X0 5; Y0 0; Smax 10000; p 0.450000; temps moyen 225.327742 p' 0.929606
X0 5; Y0 0; Smax 10000; p 0.550000; temps moyen 546.998172 p' 0.879187
X0 5; Y0 0; Smax 10000; p 0.650000; temps moyen 855.959743 p' 0.640200
X0 5; Y0 0; Smax 10000; p 0.750000; temps moyen 863.980370 p' 0.306233
X0 5; Y0 0; Smax 10000; p 0.850000; temps moyen 808.761512 p' 0.099149
X0 5; Y0 0; Smax 10000; p 0.950000; temps moyen 772.564538 p' 0.017114
X0 5; Y0 1; Smax 10000; p 0.050000; temps moyen 40.593732 p' 0.944903
X0 5; Y0 1; Smax 10000; p 0.150000; temps moyen 56.658248 p' 0.936684
X0 5; Y0 1; Smax 10000; p 0.250000; temps moyen 86.591296 p' 0.927488
X0 5; Y0 1; Smax 10000; p 0.350000; temps moyen 147.506591 p' 0.932516
X0 5; Y0 1; Smax 10000; p 0.450000; temps moyen 295.938266 p' 0.928586
X0 5; Y0 1; Smax 10000; p 0.550000; temps moyen 610.628052 p' 0.865399
X0 5; Y0 1; Smax 10000; p 0.650000; temps moyen 897.187105 p' 0.629487
X0 5; Y0 1; Smax 10000; p 0.750000; temps moyen 867.978951 p' 0.304438
X0 5; Y0 1; Smax 10000; p 0.850000; temps moyen 768.965089 p' 0.103370
X0 5; Y0 1; Smax 10000; p 0.950000; temps moyen 670.779146 p' 0.019537
X0 5; Y0 2; Smax 10000; p 0.050000; temps moyen 76.670326 p' 0.933355
X0 5; Y0 2; Smax 10000; p 0.150000; temps moyen 96.148279 p' 0.928562
X0 5; Y0 2; Smax 10000; p 0.250000; temps moyen 131.858753 p' 0.928017
X0 5; Y0 2; Smax 10000; p 0.350000; temps moyen 202.704140 p' 0.932047
X0 5; Y0 2; Smax 10000; p 0.450000; temps moyen 363.055379 p' 0.925867
X0 5; Y0 2; Smax 10000; p 0.550000; temps moyen 675.657513 p' 0.853642
X0 5; Y0 2; Smax 10000; p 0.650000; temps moyen 947.704986 p' 0.618193
X0 5; Y0 2; Smax 10000; p 0.750000; temps moyen 887.175536 p' 0.299885
X0 5; Y0 2; Smax 10000; p 0.850000; temps moyen 763.349803 p' 0.105037
X0 5; Y0 2; Smax 10000; p 0.950000; temps moyen 658.990401 p' 0.020212
X0 5; Y0 5; Smax 10000; p 0.050000; temps moyen 165.183170 p' 0.943676
X0 5; Y0 5; Smax 10000; p 0.150000; temps moyen 195.853793 p' 0.942110
X0 5; Y0 5; Smax 10000; p 0.250000; temps moyen 248.755104 p' 0.939643
X0 5; Y0 5; Smax 10000; p 0.350000; temps moyen 348.870161 p' 0.937128
X0 5; Y0 5; Smax 10000; p 0.450000; temps moyen 552.087912 p' 0.921380
X0 5; Y0 5; Smax 10000; p 0.550000; temps moyen 903.708345 p' 0.828027
X0 5; Y0 5; Smax 10000; p 0.650000; temps moyen 1157.096361 p' 0.566606
X0 5; Y0 5; Smax 10000; p 0.750000; temps moyen 1078.499806 p' 0.259663
X0 5; Y0 5; Smax 10000; p 0.850000; temps moyen 929.197760 p' 0.087085
X0 5; Y0 5; Smax 10000; p 0.950000; temps moyen 807.022194 p' 0.016676
X0 5; Y0 10; Smax 10000; p 0.050000; temps moyen 281.067019 p' 0.948530
X0 5; Y0 10; Smax 10000; p 0.150000; temps moyen 331.192485 p' 0.947456
X0 5; Y0 10; Smax 10000; p 0.250000; temps moyen 419.218483 p' 0.943882
X0 5; Y0 10; Smax 10000; p 0.350000; temps moyen 567.429071 p' 0.935358
X0 5; Y0 10; Smax 10000; p 0.450000; temps moyen 844.229177 p' 0.906352
X0 5; Y0 10; Smax 10000; p 0.550000; temps moyen 1273.770162 p' 0.781206
X0 5; Y0 10; Smax 10000; p 0.650000; temps moyen 1596.483163 p' 0.483634
X0 5; Y0 10; Smax 10000; p 0.750000; temps moyen 1517.526434 p' 0.192071
X0 5; Y0 10; Smax 10000; p 0.850000; temps moyen 1354.186563 p' 0.057262
X0 5; Y0 10; Smax 10000; p 0.950000; temps moyen 1229.697165 p' 0.009862
X0 10; Y0 0; Smax 10000; p 0.050000; temps moyen 17.737397 p' 0.993473
X0 10; Y0 0; Smax 10000; p 0.150000; temps moyen 45.543795 p' 0.976318
X0 10; Y0 0; Smax 10000; p 0.250000; temps moyen 103.182205 p' 0.958121
X0 10; Y0 0; Smax 10000; p 0.350000; temps moyen 223.043029 p' 0.949834
X0 10; Y0 0; Smax 10000; p 0.450000; temps moyen 491.043040 p' 0.926845
X0 10; Y0 0; Smax 10000; p 0.550000; temps moyen 985.049344 p' 0.818832
X0 10; Y0 0; Smax 10000; p 0.650000; temps moyen 1408.926436 p' 0.516496
X0 10; Y0 0; Smax 10000; p 0.750000; temps moyen 1460.781153 p' 0.198470
X0 10; Y0 0; Smax 10000; p 0.850000; temps moyen 1415.361035 p' 0.054274
X0 10; Y0 0; Smax 10000; p 0.950000; temps moyen 1398.088485 p' 0.008572
X0 10; Y0 1; Smax 10000; p 0.050000; temps moyen 75.058498 p' 0.941310
X0 10; Y0 1; Smax 10000; p 0.150000; temps moyen 110.379487 p' 0.939920
X0 10; Y0 1; Smax 10000; p 0.250000; temps moyen 174.737895 p' 0.940911
X0 10; Y0 1; Smax 10000; p 0.350000; temps moyen 300.665272 p' 0.939526
X0 10; Y0 1; Smax 10000; p 0.450000; temps moyen 566.818330 p' 0.921727
X0 10; Y0 1; Smax 10000; p 0.550000; temps moyen 1042.271391 p' 0.812747
X0 10; Y0 1; Smax 10000; p 0.650000; temps moyen 1434.118800 p' 0.512346
X0 10; Y0 1; Smax 10000; p 0.750000; temps moyen 1440.622762 p' 0.201010
X0 10; Y0 1; Smax 10000; p 0.850000; temps moyen 1359.844592 p' 0.056984
X0 10; Y0 1; Smax 10000; p 0.950000; temps moyen 1303.358725 p' 0.009316
X0 10; Y0 2; Smax 10000; p 0.050000; temps moyen 130.636557 p' 0.937528
X0 10; Y0 2; Smax 10000; p 0.150000; temps moyen 170.481682 p' 0.939399
X0 10; Y0 2; Smax 10000; p 0.250000; temps moyen 240.961233 p' 0.938055
X0 10; Y0 2; Smax 10000; p 0.350000; temps moyen 372.164671 p' 0.937129
X0 10; Y0 2; Smax 10000; p 0.450000; temps moyen 639.094942 p' 0.917782
X0 10; Y0 2; Smax 10000; p 0.550000; temps moyen 1101.491758 p' 0.804978
X0 10; Y0 2; Smax 10000; p 0.650000; temps moyen 1463.744721 p' 0.506905
X0 10; Y0 2; Smax 10000; p 0.750000; temps moyen 1446.044390 p' 0.200122
X0 10; Y0 2; Smax 10000; p 0.850000; temps moyen 1331.123829 p' 0.058590
X0 10; Y0 2; Smax 10000; p 0.950000; temps moyen 1238.759154 p' 0.009691
X0 10; Y0 5; Smax 10000; p 0.050000; temps moyen 280.429106 p' 0.948828
X0 10; Y0 5; Smax 10000; p 0.150000; temps moyen 332.745849 p' 0.946024
X0 10; Y0 5; Smax 10000; p 0.250000; temps moyen 417.353395 p' 0.943763
X0 10; Y0 5; Smax 10000; p 0.350000; temps moyen 566.521565 p' 0.934947
X0 10; Y0 5; Smax 10000; p 0.450000; temps moyen 846.453233 p' 0.905487
X0 10; Y0 5; Smax 10000; p 0.550000; temps moyen 1277.798385 p' 0.780310
X0 10; Y0 5; Smax 10000; p 0.650000; temps moyen 1594.020431 p' 0.484184
X0 10; Y0 5; Smax 10000; p 0.750000; temps moyen 1501.220348 p' 0.193917
X0 10; Y0 5; Smax 10000; p 0.850000; temps moyen 1350.166996 p' 0.057699
X0 10; Y0 5; Smax 10000; p 0.950000; temps moyen 1224.986282 p' 0.010062
X0 10; Y0 10; Smax 10000; p 0.050000; temps moyen 488.305223 p' 0.952183
X0 10; Y0 10; Smax 10000; p 0.150000; temps moyen 555.626812 p' 0.948423
X0 10; Y0 10; Smax 10000; p 0.250000; temps moyen 668.229371 p' 0.942192
X0 10; Y0 10; Smax 10000; p 0.350000; temps moyen 848.299122 p' 0.928352
X0 10; Y0 10; Smax 10000; p 0.450000; temps moyen 1159.194143 p' 0.879172
X0 10; Y0 10; Smax 10000; p 0.550000; temps moyen 1603.497500 p' 0.735929
X0 10; Y0 10; Smax 10000; p 0.650000; temps moyen 1882.889635 p' 0.434280
X0 10; Y0 10; Smax 10000; p 0.750000; temps moyen 1788.170790 p' 0.163647
X0 10; Y0 10; Smax 10000; p 0.850000; temps moyen 1607.581496 p' 0.047694
X0 10; Y0 10; Smax 10000; p 0.950000; temps moyen 1496.372424 p' 0.008197
X0 0; Y0 0; Smax 100000; p 0.050000; temps moyen 0.000000 p' 1.000000
X0 0; Y0 0; Smax 100000; p 0.150000; temps moyen 0.000000 p' 1.000000
X0 0; Y0 0; Smax 100000; p 0.250000; temps moyen 0.000000 p' 1.000000
X0 0; Y0 0; Smax 100000; p 0.350000; temps moyen 0.000000 p' 1.000000
X0 0; Y0 0; Smax 100000; p 0.450000; temps moyen 0.000000 p' 1.000000
X0 0; Y0 0; Smax 100000; p 0.550000; temps moyen 0.000000 p' 1.000000
X0 0; Y0 0; Smax 100000; p 0.650000; temps moyen 0.000000 p' 1.000000
X0 0; Y0 0; Smax 100000; p 0.750000; temps moyen 0.000000 p' 1.000000
X0 0; Y0 0; Smax 100000; p 0.850000; temps moyen 0.000000 p' 1.000000
X0 0; Y0 0; Smax 100000; p 0.950000; temps moyen 0.000000 p' 1.000000
X0 0; Y0 1; Smax 100000; p 0.050000; temps moyen 2.599477 p' 0.986365
X0 0; Y0 1; Smax 100000; p 0.150000; temps moyen 8.079514 p' 0.963615
X0 0; Y0 1; Smax 100000; p 0.250000; temps moyen 14.039169 p' 0.977743
X0 0; Y0 1; Smax 100000; p 0.350000; temps moyen 25.028591 p' 0.961842
X0 0; Y0 1; Smax 100000; p 0.450000; temps moyen 56.192225 p' 0.936514
X0 0; Y0 1; Smax 100000; p 0.550000; temps moyen 507.612624 p' 0.922548
X0 0; Y0 1; Smax 100000; p 0.650000; temps moyen 1194.064637 p' 0.867831
X0 0; Y0 1; Smax 100000; p 0.750000; temps moyen 1148.170492 p' 0.710534
X0 0; Y0 1; Smax 100000; p 0.850000; temps moyen 1276.361854 p' 0.420215
X0 0; Y0 1; Smax 100000; p 0.950000; temps moyen 1046.344034 p' 0.115623
X0 0; Y0 2; Smax 100000; p 0.050000; temps moyen 4.631138 p' 0.996973
X0 0; Y0 2; Smax 100000; p 0.150000; temps moyen 14.092722 p' 0.987862
X0 0; Y0 2; Smax 100000; p 0.250000; temps moyen 28.779851 p' 0.972224
X0 0; Y0 2; Smax 100000; p 0.350000; temps moyen 57.137952 p' 0.951059
X0 0; Y0 2; Smax 100000; p 0.450000; temps moyen 148.642931 p' 0.918928
X0 0; Y0 2; Smax 100000; p 0.550000; temps moyen 886.783886 p' 0.903301
X0 0; Y0 2; Smax 100000; p 0.650000; temps moyen 1616.429200 p' 0.810697
X0 0; Y0 2; Smax 100000; p 0.750000; temps moyen 1651.493570 p' 0.621313
X0 0; Y0 2; Smax 100000; p 0.850000; temps moyen 2309.027659 p' 0.269770
X0 0; Y0 2; Smax 100000; p 0.950000; temps moyen 2237.876031 p' 0.043158
X0 0; Y0 5; Smax 100000; p 0.050000; temps moyen 10.223827 p' 0.995969
X0 0; Y0 5; Smax 100000; p 0.150000; temps moyen 27.091369 p' 0.983645
X0 0; Y0 5; Smax 100000; p 0.250000; temps moyen 58.020233 p' 0.965306
X0 0; Y0 5; Smax 100000; p 0.350000; temps moyen 130.167472 p' 0.942848
X0 0; Y0 5; Smax 100000; p 0.450000; temps moyen 540.464194 p' 0.918624
X0 0; Y0 5; Smax 100000; p 0.550000; temps moyen 1760.856751 p' 0.900446
X0 0; Y0 5; Smax 100000; p 0.650000; temps moyen 2965.031202 p' 0.766084
X0 0; Y0 5; Smax 100000; p 0.750000; temps moyen 3313.256015 p' 0.467990
X0 0; Y0 5; Smax 100000; p 0.850000; temps moyen 4555.724289 p' 0.132712
X0 0; Y0 5; Smax 100000; p 0.950000; temps moyen 4250.272169 p' 0.018230
X0 0; Y0 10; Smax 100000; p 0.050000; temps moyen 20.732023 p' 0.995153
X0 0; Y0 10; Smax 100000; p 0.150000; temps moyen 57.521147 p' 0.981772
X0 0; Y0 10; Smax 100000; p 0.250000; temps moyen 130.482864 p' 0.964641
X0 0; Y0 10; Smax 100000; p 0.350000; temps moyen 342.415438 p' 0.943563
X0 0; Y0 10; Smax 100000; p 0.450000; temps moyen 1145.382547 p' 0.930009
X0 0; Y0 10; Smax 100000; p 0.550000; temps moyen 3051.940613 p' 0.890415
X0 0; Y0 10; Smax 100000; p 0.650000; temps moyen 5502.312828 p' 0.692590
X0 0; Y0 10; Smax 100000; p 0.750000; temps moyen 6040.022082 p' 0.323746
X0 0; Y0 10; Smax 100000; p 0.850000; temps moyen 7639.929795 p' 0.074456
X0 0; Y0 10; Smax 100000; p 0.950000; temps moyen 7817.327615 p' 0.009753
X0 1; Y0 0; Smax 100000; p 0.050000; temps moyen 2.726608 p' 0.988017
X0 1; Y0 0; Smax 100000; p 0.150000; temps moyen 8.133498 p' 0.966133
X0 1; Y0 0; Smax 100000; p 0.250000; temps moyen 12.479933 p' 0.981004
X0 1; Y0 0; Smax 100000; p 0.350000; temps moyen 24.759899 p' 0.964456
X0 1; Y0 0; Smax 100000; p 0.450000; temps moyen 54.960441 p' 0.937423
X0 1; Y0 0; Smax 100000; p 0.550000; temps moyen 507.216913 p' 0.922629
X0 1; Y0 0; Smax 100000; p 0.650000; temps moyen 1187.260492 p' 0.866134
X0 1; Y0 0; Smax 100000; p 0.750000; temps moyen 1152.422775 p' 0.709407
X0 1; Y0 0; Smax 100000; p 0.850000; temps moyen 1230.059933 p' 0.439422
X0 1; Y0 0; Smax 100000; p 0.950000; temps moyen 1011.930956 p' 0.117622
X0 1; Y0 1; Smax 100000; p 0.050000; temps moyen 32.652929 p' 0.964037
X0 1; Y0 1; Smax 100000; p 0.150000; temps moyen 39.757151 p' 0.958891
X0 1; Y0 1; Smax 100000; p 0.250000; temps moyen 55.870335 p' 0.947678
X0 1; Y0 1; Smax 100000; p 0.350000; temps moyen 79.572945 p' 0.934525
X0 1; Y0 1; Smax 100000; p 0.450000; temps moyen 168.422040 p' 0.914409
